"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Tajikistan";"Asia";"TJK";"TJK";"gold";1689364,452;0,00207463476424195;0;0,000424622148824239
"Thailand";"Asia";"THA";"THA";"gold";340766655,983;0,149648308714808;1562;0,000586626858718316
"Togo";"Africa";"TGO";"TGO";"tomato";2327328,052;0,0026528094053552;0;0,000501627979699175
"Tokelau";"Oceania";"TKL";"TKL";"orchid";35844,455;5,38431927456713e-06;0;5,59087788280688e-05
"Tonga";"Oceania";"TON";"TON";"orchid";22738,234;5,4595836573135e-05;0;3,29893819957004e-05
"Trinidad and Tobago";"Americas";"TTO";"TTO";"palegreen3";11033655,707;0,00475606815302571;0;0,000566187282565318
"United Arab Emirates";"Asia";"ARE";"ARE";"gold";309551308,463;0,112381899799201;1559;0,000586154767790098
"Tunisia";"Africa";"TUN";"TUN";"tomato";23344786,434;0,00693965705480299;0;0,000572949630042878
"TÃ¼rkiye";"Asia";"TUR";"TUR";"gold";267377806,988;0,0816458373368873;1708;0,000584225561386273
"Turkmenistan";"Asia";"TKM";"TKM";"gold";13457374,203;0,00542360835331876;0;0,000580568292571501
"Turks and Caicos Isds";"Americas";"TCA";"TCA";"palegreen3";25207,458;0,000248139512058762;0;2,28227688080061e-05
"Tuvalu";"Oceania";"TUV";"TUV";"orchid";80189,663;1,88123814284799e-05;0;0,000211337356829251
"Uganda";"Africa";"UGA";"UGA";"tomato";8881087,148;0,00265450760451358;447;0,000558323583308783
"Ukraine";"Europe";"UKR";"UKR";"skyblue";46148666,586;0,0168344902476726;0;0,000571149321892509
"North Macedonia";"Europe";"MKD";"MKD";"skyblue";9254017,281;0,00262679749075685;0;0,000565696002584841
"Egypt";"Africa";"EGY";"EGY";"tomato";53006222,753;0,0221934405810788;0;0,000573938729724881
"United Kingdom";"Europe";"GBR";"GBR";"skyblue";423679302,703;0,224334523902975;896;0,000586762412478522
"United Rep. of Tanzania";"Africa";"TZA";"TZA";"tomato";11979635,815;0,00534692032550308;0;0,000554125439827245
"USA";"Americas";"USA";"USA";"palegreen3";1897844747,989;1;20834;0,000587828832418354
"Burkina Faso";"Africa";"BFA";"BFA";"tomato";9459680,149;0,00156304001568213;0;0,000575043859931999
"Uruguay";"Americas";"URY";"URY";"palegreen3";12290790,485;0,00512947358870579;0;0,000558599659034084
"Uzbekistan";"Asia";"UZB";"UZB";"gold";22835275,918;0,0100882862163795;0;0,000574389708782996
"Venezuela";"Americas";"VEN";"VEN";"palegreen3";13609199,518;0,00966452480039079;0;0,000575813048129734
"Wallis and Futuna Isds";"Oceania";"WLF";"WLF";"orchid";343,203;4,45905987304035e-06;0;3,59515267069368e-07
"Samoa";"Oceania";"WSM";"WSM";"orchid";39835,711;0,000110513630710842;0;3,46745567397275e-05
"Yemen";"Asia";"YEM";"YEM";"gold";661397,694;0,00178560684459336;0;0,00035191106096247
"Zambia";"Africa";"ZMB";"ZMB";"tomato";14520198,405;0,00381353057294154;0;0,000571118739797743
