"";"name";"continent";"color";"strength";"iso3";"label";"eigenv";"between";"closen"
"Lithuania";"Lithuania";"Europe";"skyblue";43610135,381;"LTU";"LTU";0,00865033230085114;400;0,000433951319855165
"Luxembourg";"Luxembourg";"Europe";"skyblue";26969993,501;"LUX";"LUX";0,00650078133375995;0;0,000434884751858223
"China, Macao SAR";"China, Macao SAR";"Asia";"gold";11929964,629;"MAC";"MAC";0,00345357830000956;0;0,000431764065167206
"Madagascar";"Madagascar";"Africa";"tomato";5093098,096;"MDG";"MDG";0,0016912553211193;0;0,000413695510165962
"Malawi";"Malawi";"Africa";"tomato";3239481,171;"MWI";"MWI";0,000521978606346474;0;0,000378724406958932
"Malaysia";"Malaysia";"Asia";"gold";303376783,561;"MYS";"MYS";0,169721821158081;402;0,000440327792858459
"Maldives";"Maldives";"Asia";"gold";4314380,941;"MDV";"MDV";0,000756911552826921;0;0,000404191339657019
"Mali";"Mali";"Africa";"tomato";6025053,08;"MLI";"MLI";0,000757602878406357;0;0,0004088818478829
"Malta";"Malta";"Europe";"skyblue";15971610,502;"MLT";"MLT";0,00399646596195761;0;0,000429600774840154
"Mauritania";"Mauritania";"Africa";"tomato";5412664,975;"MRT";"MRT";0,00190097497033134;0;0,000406683582016026
"Mauritius";"Mauritius";"Africa";"tomato";6988272,59;"MUS";"MUS";0,00141018696088353;0;0,000413303911855797
"Mexico";"Mexico";"Americas";"palegreen3";563525204,208;"MEX";"MEX";0,528926881259459;0;0,000440828593076039
"Other Asia, nes";"Other Asia, nes";"Asia";"gold";349324235,689;NA;NA;0,229979265953405;201;0,000440330627193563
"Mongolia";"Mongolia";"Asia";"gold";8372302,948;"MNG";"MNG";0,00940769614833911;0;0,000432359254807255
"Rep. of Moldova";"Rep. of Moldova";"Europe";"skyblue";9630062,524;"MDA";"MDA";0,00148745118562011;0;0,000418162578999713
"Montenegro";"Montenegro";"Europe";"skyblue";5410437,893;"MNE";"MNE";0,000630504519834487;0;0,000406810057422325
"Morocco";"Morocco";"Africa";"tomato";87599365,317;"MAR";"MAR";0,0220102209812044;0;0,000437529017008745
"Mozambique";"Mozambique";"Africa";"tomato";16079170,982;"MOZ";"MOZ";0,00398404791676498;0;0,000433225318249617
"Oman";"Oman";"Asia";"gold";24585560,193;"OMN";"OMN";0,0242357212262173;0;0,000434136066418555
"Namibia";"Namibia";"Africa";"tomato";9267310,557;"NAM";"NAM";0,00232928242601291;0;0,00042868646866703
"Nepal";"Nepal";"Asia";"gold";10294038,712;"NRU";"NRU";0,00217288477746071;0;0,000435269279465005
"Netherlands";"Netherlands";"Europe";"skyblue";689971408,15;"NPL";"NPL";0,212154058659907;1052;0,000440580432454009
"Cura̤ao";"Cura̤ao";"Americas";"palegreen3";1615263,009;"NLD";"NLD";0,000560636605131126;0;0,000395855074336907
"Aruba";"Aruba";"Americas";"palegreen3";1289048,211;"CUW";"CUW";0,000475614358101464;0;0,000391631767900777
"Saint Maarten";"Saint Maarten";"Americas";"palegreen3";912848,913;"ABW";"ABW";0,00041805088523047;0;0,000444168613985934
"Bonaire";"Bonaire";"Americas";"palegreen3";726051,68;"NCL";"NCL";0,000105425000580011;0;0,000355027527077456
